keyword,product_name,image,price,brand,maker,product_id,category1,category2,category3,category4,mall_name,api_source,sale_price
소파,웰퍼니쳐 바비 양털 부클레 1인용 소파,https://shopping-phinf.pstatic.net/main_3371635/33716350618.20220727103905.jpg,"₩199,000",웰퍼니쳐,아이웰,33716350618,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버,
소파,라자가구 1인용 슬로우 전동 리클라이너 소파 무중력 흔들의자기능,https://shopping-phinf.pstatic.net/main_4819552/48195524621.20240604161959.jpg,"₩590,000",라자가구,라자가구,48195524621,가구/인테리어,거실가구,소파,리클라이너소파,네이버,네이버,
소파,브리엔츠가구 베니스 코모도 패브릭 4인용 소파,https://shopping-phinf.pstatic.net/main_2771397/27713975522.20230731174538.jpg,"₩429,000",브리엔츠가구,브리엔츠가구,27713975522,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버,
소파,한샘 MVME 프라임 노블 천연면피가죽 전동 리클라이너 소파 4인용,https://shopping-phinf.pstatic.net/main_2356187/23561879490.20210511133941.jpg,"₩1,288,800",한샘,한샘,23561879490,가구/인테리어,거실가구,소파,리클라이너소파,네이버,네이버,
소파,파로마 소프 마카롱 아쿠아텍스 패브릭 2인용 소파 DNE124,https://shopping-phinf.pstatic.net/main_4114963/41149633619.20241119101920.jpg,"₩99,000",파로마,파로마,41149633619,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버,
소파,한샘 아르떼 4인용 천연가죽소파,https://shopping-phinf.pstatic.net/main_2581769/25817691522.20210201112657.jpg,"₩1,295,100",한샘,한샘,25817691522,가구/인테리어,거실가구,소파,가죽소파,네이버,네이버,
소파,리바트 올 뉴탐 1인 패브릭소파,https://shopping-phinf.pstatic.net/main_1226840/12268402081.20241101141540.jpg,"₩292,000",리바트,현대리바트,12268402081,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버,
소파,에보니아 엔느 패브릭 2인소파,https://shopping-phinf.pstatic.net/main_6996996/6996996101.20231205102856.jpg,"₩163,460",에보니아,에보니아,6996996101,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버,
소파,NUUB 굿타임 아쿠아텍스 패브릭 2인용 소파 + 스툴,https://shopping-phinf.pstatic.net/main_5161741/51617410620.20241127145429.jpg,"₩164,000",NUUB,NUUB,51617410620,가구/인테리어,거실가구,소파,패브릭소파,네이버,네이버,
소파,썸앤데코 프라하 가죽 소파 모던 디자인 4인용,https://shopping-phinf.pstatic.net/main_5273583/52735832826.20250131094053.jpg,"₩1,292,000",썸앤데코,썸앤데코,52735832826,가구/인테리어,거실가구,소파,가죽소파,네이버,네이버,
원형 러그,롤베이비 착한 원형러그 아기 유아 아이방 놀이방 러그 패드 매트 아이보리 110cm 프릴,https://shopping-phinf.pstatic.net/main_8350198/83501985214.4.jpg,"₩42,900",롤베이비,롤베이비,83501985214,가구/인테리어,카페트/러그,러그,,엘오엘스토어,네이버,
원형 러그,호이데코 먼지없는 단모 코지 워셔블 아이방 대형 미니 거실카페트 원형러그,https://shopping-phinf.pstatic.net/main_4636382/46363826618.20250109183045.jpg,"₩21,900",호이데코,트렌디,46363826618,가구/인테리어,카페트/러그,러그,,네이버,네이버,
원형 러그,[단독] 원형러그 카페트 미니 러그 포인트 거실카페트 극세사 크리스마스 트리 스커트 터치미 100 아이보리,https://shopping-phinf.pstatic.net/main_1303112/13031123342.4.jpg,"₩17,900",한일카페트,한일카페트,13031123342,가구/인테리어,카페트/러그,러그,,한일카페트,네이버,
원형 러그,러그 카페트 해리 먼지없는 워셔블 사계절 단모 대형 원형 극세사 거실러그 150x200,https://shopping-phinf.pstatic.net/main_8699844/86998448271.3.jpg,"₩27,900",더프리그,더프리그,86998448271,가구/인테리어,카페트/러그,러그,,더프리그,네이버,
원형 러그,마이리틀데이지 아기 원형 러그 신생아 거실 대방석 커버단품 원형 누빔 레이스,https://shopping-phinf.pstatic.net/main_8805782/88057827831.jpg,"₩71,000",마이리틀데이지,마이리틀데이지,88057827831,가구/인테리어,카페트/러그,러그,,마이리틀데이지 : 마리데,네이버,
원형 러그,이니띠움 워셔블 소프트 모던 사계절 원형 러그 카페트,https://shopping-phinf.pstatic.net/main_4785463/47854638622.20240520162923.jpg,"₩12,800",이니띠움,데코앤지,47854638622,가구/인테리어,카페트/러그,러그,,네이버,네이버,
원형 러그,롤베이비 시원한 여름 아기원형러그 유아 쿨 태열 원형러그 분리형 충전재1개포함,https://shopping-phinf.pstatic.net/main_8415262/84152626590.2.jpg,"₩69,800",롤베이비,롤베이비,84152626590,가구/인테리어,카페트/러그,러그,,엘오엘스토어,네이버,
원형 러그,한스갤러리 거실 침실 아이방 카페트 선염 솔리드 러그 150 원형,https://shopping-phinf.pstatic.net/main_8308023/83080237407.4.jpg,"₩32,800",한스갤러리,한스갤러리,83080237407,가구/인테리어,카페트/러그,러그,,한스갤러리,네이버,
원형 러그,포몽드 냉감 듀라론 아기 원형러그 신생아 방수 논슬립 아이방 놀이매트 소형 베어블리,https://shopping-phinf.pstatic.net/main_8810578/88105780801.jpg,"₩74,900",포몽드,포몽드,88105780801,가구/인테리어,카페트/러그,러그,,포몽드,네이버,
원형 러그,한일카페트 코튼 데이지 원형 러그,https://shopping-phinf.pstatic.net/main_2921762/29217627619.20211013145850.jpg,"₩9,900",한일카페트,한일카페트,29217627619,가구/인테리어,카페트/러그,러그,,네이버,네이버,
원형 러그,더프리그 로망스 심플 단모 원형 러그,https://shopping-phinf.pstatic.net/main_2868312/28683123554.20231212100720.jpg,"₩15,800",더프리그,더프리그,28683123554,가구/인테리어,카페트/러그,러그,,네이버,네이버,
원형 러그,한일카페트 믹스매치 워셔블 타원 원형 러그,https://shopping-phinf.pstatic.net/main_4582982/45829822619.20240215101617.jpg,"₩11,900",한일카페트,한일카페트,45829822619,가구/인테리어,카페트/러그,러그,,네이버,네이버,
원형 러그,원형러그 미니 러그 거실 양모 양털 원형 카페트,https://shopping-phinf.pstatic.net/main_8262661/82626611488.1.jpg,"₩18,900",프로젝트무니,프로젝트무니,82626611488,가구/인테리어,카페트/러그,러그,,프로젝트무니,네이버,
원형 러그,롤베이비 아기원형러그 아이방 놀이 매트 문앤스타화이트 110cm,https://shopping-phinf.pstatic.net/main_8312631/83126318254.3.jpg,"₩69,800",롤베이비,롤베이비,83126318254,가구/인테리어,카페트/러그,러그,,엘오엘스토어,네이버,
