keyword,product_name,image,price,brand,maker,product_id,category1,category2,category3,category4,mall_name,api_source
원형 러그,[단독] 원형러그 카페트 미니 러그 포인트 거실카페트 극세사 크리스마스 트리 스커트 터치미 100 아이보리,https://shopping-phinf.pstatic.net/main_1303112/13031123342.4.jpg,"₩17,900",한일카페트,한일카페트,13031123342,가구/인테리어,카페트/러그,러그,,한일카페트,네이버
원형 러그,러그 카페트 해리 먼지없는 워셔블 사계절 단모 대형 원형 극세사 거실러그 150x200,https://shopping-phinf.pstatic.net/main_8699844/86998448271.3.jpg,"₩27,900",더프리그,더프리그,86998448271,가구/인테리어,카페트/러그,러그,,더프리그,네이버
원형 러그,마이리틀데이지 아기 원형 러그 신생아 거실 대방석 커버단품 원형 누빔 레이스,https://shopping-phinf.pstatic.net/main_8805782/88057827831.jpg,"₩71,000",마이리틀데이지,마이리틀데이지,88057827831,가구/인테리어,카페트/러그,러그,,마이리틀데이지 : 마리데,네이버
원형 러그,이니띠움 워셔블 소프트 모던 사계절 원형 러그 카페트,https://shopping-phinf.pstatic.net/main_4785463/47854638622.20240520162923.jpg,"₩12,800",이니띠움,데코앤지,47854638622,가구/인테리어,카페트/러그,러그,,네이버,네이버
원형 러그,롤베이비 시원한 여름 아기원형러그 유아 쿨 태열 원형러그 분리형 충전재1개포함,https://shopping-phinf.pstatic.net/main_8415262/84152626590.2.jpg,"₩69,800",롤베이비,롤베이비,84152626590,가구/인테리어,카페트/러그,러그,,엘오엘스토어,네이버
원형 러그,한스갤러리 거실 침실 아이방 카페트 선염 솔리드 러그 150 원형,https://shopping-phinf.pstatic.net/main_8308023/83080237407.4.jpg,"₩32,800",한스갤러리,한스갤러리,83080237407,가구/인테리어,카페트/러그,러그,,한스갤러리,네이버
원형 러그,포몽드 냉감 듀라론 아기 원형러그 신생아 방수 논슬립 아이방 놀이매트 소형 베어블리,https://shopping-phinf.pstatic.net/main_8810578/88105780801.jpg,"₩74,900",포몽드,포몽드,88105780801,가구/인테리어,카페트/러그,러그,,포몽드,네이버
원형 러그,한일카페트 코튼 데이지 원형 러그,https://shopping-phinf.pstatic.net/main_2921762/29217627619.20211013145850.jpg,"₩9,900",한일카페트,한일카페트,29217627619,가구/인테리어,카페트/러그,러그,,네이버,네이버
원형 러그,더프리그 로망스 심플 단모 원형 러그,https://shopping-phinf.pstatic.net/main_2868312/28683123554.20231212100720.jpg,"₩15,800",더프리그,더프리그,28683123554,가구/인테리어,카페트/러그,러그,,네이버,네이버
원형 러그,한일카페트 믹스매치 워셔블 타원 원형 러그,https://shopping-phinf.pstatic.net/main_4582982/45829822619.20240215101617.jpg,"₩11,900",한일카페트,한일카페트,45829822619,가구/인테리어,카페트/러그,러그,,네이버,네이버
원형 러그,원형러그 미니 러그 거실 양모 양털 원형 카페트,https://shopping-phinf.pstatic.net/main_8262661/82626611488.1.jpg,"₩18,900",프로젝트무니,프로젝트무니,82626611488,가구/인테리어,카페트/러그,러그,,프로젝트무니,네이버
원형 러그,롤베이비 아기원형러그 아이방 놀이 매트 문앤스타화이트 110cm,https://shopping-phinf.pstatic.net/main_8312631/83126318254.3.jpg,"₩69,800",롤베이비,롤베이비,83126318254,가구/인테리어,카페트/러그,러그,,엘오엘스토어,네이버
원형 러그,내추럴 인테리어 핸드메이드 라탄 원형 러그 90x90,https://shopping-phinf.pstatic.net/main_8248354/82483541986.1.jpg,"₩39,800",더프리그,더프리그,82483541986,가구/인테리어,카페트/러그,러그,,더프리그,네이버
